age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31,6,110714,15,10,4,7,3,4,0,0,0,37,37,0
19,3,38294,11,9,4,5,2,4,1,2597,0,40,37,0
40,3,193385,14,15,2,9,5,1,0,0,0,40,2,0
45,0,211399,12,14,2,3,0,4,1,7298,0,40,37,1
46,3,205816,8,11,2,9,5,4,0,0,0,40,37,1
55,5,95149,15,10,2,13,0,4,1,0,0,99,37,0
23,4,295254,11,9,4,0,1,4,0,0,0,40,37,0
29,3,160510,9,13,2,9,0,4,1,0,0,50,38,1
32,3,110331,11,9,2,3,0,4,1,0,1672,60,37,0
30,3,392812,11,9,4,5,1,4,1,0,0,50,10,0
43,3,115323,9,13,2,3,0,4,1,3103,0,40,37,1
31,3,200117,11,9,0,0,1,4,1,0,0,40,37,0
31,3,230246,9,13,4,11,1,4,1,0,0,40,37,0
28,3,114053,9,13,4,13,1,4,1,0,0,55,37,0
20,7,94746,15,10,4,14,3,4,1,0,0,40,30,0
31,1,127651,0,6,4,13,2,4,1,0,1741,40,37,0
22,3,126613,15,10,4,11,3,4,0,0,0,20,37,0
33,3,121488,9,13,4,11,1,4,0,0,0,40,37,0
56,3,456592,11,9,0,7,4,4,0,0,0,37,37,0
53,1,140359,13,1,4,6,1,4,0,0,0,35,37,0
46,0,260549,15,10,2,0,0,4,1,0,0,80,37,1
42,3,112494,15,10,2,2,0,4,1,7298,0,35,37,1
48,3,160220,8,11,2,11,0,4,1,0,0,40,37,1
22,3,216867,5,4,2,6,0,4,1,0,0,40,24,0
65,6,29276,5,4,6,7,2,4,0,0,0,24,37,0
37,3,111128,1,7,4,6,1,4,1,0,0,40,37,0
23,7,62507,15,10,4,14,1,4,0,0,0,12,37,0
44,3,68729,15,10,2,11,0,1,1,0,1902,40,37,1
34,3,309513,11,9,2,6,0,4,1,0,0,40,37,0
48,5,243631,15,10,2,2,0,0,1,7688,0,40,37,1
49,1,276247,15,10,2,10,0,4,1,0,0,40,37,0
35,4,182148,9,13,2,3,0,4,1,0,0,60,37,1
23,3,236601,15,10,4,12,1,4,1,0,0,48,37,0
24,3,228424,11,9,4,5,2,2,1,0,0,40,37,0
29,3,154017,11,9,4,11,1,4,0,0,0,10,37,0
68,1,137518,11,9,6,0,1,4,0,0,0,33,37,0
42,3,172148,15,10,2,0,0,2,1,0,0,40,37,0
37,3,327323,4,3,5,4,1,4,1,0,0,32,12,0
32,3,366876,11,9,2,2,0,4,1,0,0,40,37,0
38,3,168355,11,9,2,2,0,4,1,0,0,48,37,0
31,3,182246,11,9,0,2,1,4,1,0,0,45,37,0
