age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
44,3,172334,15,9,4,7,4,4,0,3,0,40,38,0
30,1,69984,12,11,0,0,1,3,1,-24,0,40,38,1
27,0,4844,11,9,4,5,1,4,1,8,4,26,38,0
18,1,125037,11,9,0,10,5,4,0,-75,-2,50,38,0
49,3,151189,11,9,4,12,4,2,1,-64,2,40,38,0
76,3,66263,15,10,2,13,5,4,1,-110,0,50,38,1
22,5,130906,8,10,2,7,5,4,0,51,2,40,38,1
60,2,133920,12,15,1,11,1,4,0,-73,2565,63,32,0
33,3,145429,11,9,4,0,1,4,1,22,-3,48,38,0
26,7,220201,12,9,2,14,0,4,0,-5,0,40,38,0
37,6,145312,15,10,4,3,0,4,0,4,0,37,38,0
75,3,109092,11,13,0,0,0,4,1,-58,3,23,38,0
34,3,176857,11,10,4,11,0,4,0,-112,1388,36,38,0
22,3,26251,12,9,2,2,4,4,0,-52,2,40,39,0
45,4,120558,1,9,4,0,3,4,0,-75,5,15,38,0
35,3,50994,11,14,2,0,3,4,1,-76,5,40,38,0
54,3,26498,15,10,4,0,1,4,1,-28,1951,40,18,0
46,3,38136,12,10,2,0,2,4,1,-37,-3,40,38,0
37,1,126623,11,9,4,12,3,2,0,-76,3,46,38,1
48,3,169805,0,10,4,13,4,4,1,-6,1,14,38,0
21,5,102340,11,9,0,14,1,4,0,-55,4,50,38,0
56,3,19686,1,10,4,0,1,4,1,-22,-1,40,38,0
36,1,183921,2,10,0,4,1,1,1,-92,2,40,38,0
32,3,254539,11,13,2,7,3,4,0,-94,-1,54,38,0
51,5,108268,9,9,4,5,0,4,1,-61,3,57,38,1
27,3,171024,2,9,2,9,4,4,1,-108,-3,40,38,0
63,7,19912,9,10,0,9,0,2,1,-60,2,50,38,0
38,0,111977,11,9,2,2,5,4,1,-20,0,40,38,0
22,1,11066,15,11,4,3,1,4,1,-88,2,58,38,1
41,3,192711,15,9,2,13,0,2,0,-1,4,46,38,1
